Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,gamma,input_layer,lr,optimizer,output_layer,accuracy,lr_distribution,direction,number,gamma_distribution,state,input_layer_distribution,output_layer_distribution,datetime_complete,datetime_start,optimizer_distribution
2022-04-16 10:46:41,28ms,38a451aff5db41d3baa65f165d4ec191,15,LOCAL,./run_nn.py,andy,FINISHED,0.013139089497364644,21,0.07355149846490083,RMSprop,21,0.7925311203319502,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,15,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:46:41.071750,2022-04-16 10:46:08.233718,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:43:18,15ms,82c70403b4df48bea970dde4d9fc5467,0,LOCAL,./run_nn.py,andy,FINISHED,0.0139067169971722,26,74.89726990748746,Adadelta,15,0.7925311203319502,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,0,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:43:18.125135,2022-04-16 10:42:44.162992,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:07,17ms,915fa2dfdac14858a22951ec8af27df9,17,LOCAL,./run_nn.py,andy,FINISHED,0.013658275967704461,17,0.012873888976462097,Adam,20,0.7800829875518672,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,17,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:07.030311,2022-04-16 10:46:42.417413,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:43:42,14ms,c244657707c6451f93a47882f8bc5c49,1,LOCAL,./run_nn.py,andy,FINISHED,0.062399407995543235,25,208.16574774670488,RMSprop,16,0.7800829875518672,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,1,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:43:42.241160,2022-04-16 10:43:18.150395,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:42,16ms,201ec82b935d4f2db89d98db2de703b8,24,LOCAL,./run_nn.py,andy,FINISHED,0.038142194077331,25,7.65537090506957,RMSprop,9,0.7717842323651453,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,24,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:42.402416,2022-04-16 10:47:15.066550,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:45:00,16ms,a09b900d31ba4f5690213d47cf395a12,4,LOCAL,./run_nn.py,andy,FINISHED,0.0639114381427986,31,0.12341724531231991,Adam,13,0.7634854771784232,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,4,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:45:00.384983,2022-04-16 10:44:24.368757,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:45:55,16ms,57bcb49663084e83a52dcd0b9e7c0dcf,8,LOCAL,./run_nn.py,andy,FINISHED,0.0010252209761486065,24,0.00489643393299421,RMSprop,6,0.7593360995850622,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,8,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:45:55.807613,2022-04-16 10:45:30.796113,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:45:30,14ms,06642771f8f948589a6c0a7a06573678,7,LOCAL,./run_nn.py,andy,FINISHED,0.0011803425635221888,20,2.582057351230798,RMSprop,17,0.7593360995850622,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,7,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:45:30.776963,2022-04-16 10:45:05.818738,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:46:42,22ms,af72d175685e4549adf4c633cdd9dbdc,16,LOCAL,./run_nn.py,andy,FINISHED,0.0046458421424413286,21,0.06717834314321043,SGD,21,0.7307692307692307,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,16,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:46:42.384628,2022-04-16 10:46:41.108224,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:46:08,17ms,86f82b4fef964ec090b9d62c642a523b,14,LOCAL,./run_nn.py,andy,FINISHED,0.016454315565739158,25,33.417833024470625,Adadelta,12,0.7307692307692307,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,14,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:46:08.209371,2022-04-16 10:46:05.449072,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:45:05,19ms,88d10ccbec534c0a8b3536126c8a82c8,6,LOCAL,./run_nn.py,andy,FINISHED,0.029000422978024753,29,2.1001812531127424,Adadelta,6,0.7307692307692307,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,6,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:45:05.792565,2022-04-16 10:45:01.006665,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:15,14ms,7ac676f3dd834e61b306c16326b376f5,23,LOCAL,./run_nn.py,andy,FINISHED,0.08263633478832386,22,0.38854681397498575,RMSprop,20,0.6923076923076923,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,23,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:15.045609,2022-04-16 10:47:13.785879,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:12,16ms,3905a62189dd449998719d260150483b,21,LOCAL,./run_nn.py,andy,FINISHED,0.052316262516963336,25,110.63292937528782,RMSprop,17,0.6923076923076923,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,21,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:12.371206,2022-04-16 10:47:11.252618,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:46:04,18ms,ac130ff7831748faaa059168e0e93181,12,LOCAL,./run_nn.py,andy,FINISHED,0.09659190147438793,26,25.803124887448334,Adadelta,23,0.6923076923076923,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,12,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:46:04.014554,2022-04-16 10:46:01.382539,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:44:24,17ms,0669c53c85b5491992ac74d7801fa40f,3,LOCAL,./run_nn.py,andy,FINISHED,0.007529963968415074,32,0.00013137624031986456,RMSprop,18,0.6763485477178424,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,3,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:44:24.346083,2022-04-16 10:43:55.782475,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:45,18ms,01f5d1b1fd6b4d85bd0d93e1930ca605,26,LOCAL,./run_nn.py,andy,FINISHED,0.008312679973051764,27,5.413665573020354,Adam,21,0.6538461538461539,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,26,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:45.109781,2022-04-16 10:47:43.541443,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:43,16ms,d9d40978eb7842b185d61228f5cefb8b,25,LOCAL,./run_nn.py,andy,FINISHED,0.011891222165123526,20,80.37673047139806,RMSprop,16,0.6538461538461539,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,25,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:43.519181,2022-04-16 10:47:42.424249,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:45:59,13ms,a4463f7b78044582931a535db70ddc9a,10,LOCAL,./run_nn.py,andy,FINISHED,0.007394583902482549,28,190.3304238749266,Adadelta,23,0.6153846153846154,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,10,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:45:59.862830,2022-04-16 10:45:56.758587,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:46:05,16ms,395a3c97c62f419aa011c97e6f40a4aa,13,LOCAL,./run_nn.py,andy,FINISHED,0.0034209984532311576,23,26.183165945829895,RMSprop,14,0.5769230769230769,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,13,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:46:05.427486,2022-04-16 10:46:04.039219,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:46:01,16ms,e393e62e14c7420fa7765a47900ac04c,11,LOCAL,./run_nn.py,andy,FINISHED,0.018824311825709504,27,387.3394226640943,Adadelta,18,0.5769230769230769,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,11,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:46:01.361682,2022-04-16 10:45:59.883162,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:45:56,16ms,ebe8898a8fcb497bb68e94da2763b078,9,LOCAL,./run_nn.py,andy,FINISHED,0.0015806158333193602,16,0.8737409955010749,Adam,6,0.5769230769230769,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,9,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:45:56.736364,2022-04-16 10:45:55.828722,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:45:00,13ms,3f776fc44d39454c96633be54c8eaba2,5,LOCAL,./run_nn.py,andy,FINISHED,0.0010042297530663312,19,0.0031169830702913897,SGD,3,0.5384615384615384,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,5,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:45:00.988220,2022-04-16 10:45:00.407245,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:43:55,17ms,8dfbe136e0f44b6b921c6712bb386524,2,LOCAL,./run_nn.py,andy,FINISHED,0.04136951489590604,23,0.0002982001571538582,SGD,10,0.5103734439834025,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,2,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:43:55.759164,2022-04-16 10:43:42.260876,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:13,16ms,729f2c7ad86743b9ad92a70b64ac0bd3,22,LOCAL,./run_nn.py,andy,FINISHED,0.024909661053888747,27,7.1651543510504485,RMSprop,15,0.5,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,22,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:13.764120,2022-04-16 10:47:12.394489,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:08,19ms,1502fb56c5224b61abd480e3560eb32d,18,LOCAL,./run_nn.py,andy,FINISHED,0.027013283076376297,18,0.5355066233790349,RMSprop,25,0.46153846153846156,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,18,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:08.521964,2022-04-16 10:47:07.055029,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:09,14ms,7d13456558ba450f8e4555105566bc48,19,LOCAL,./run_nn.py,andy,FINISHED,0.0032241508584815283,22,0.026998550960298094,Adadelta,11,0.15384615384615385,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,19,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:09.686377,2022-04-16 10:47:08.551295,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:47:11,15ms,e3e934e05b184868889a614483a0b155,20,LOCAL,./run_nn.py,andy,FINISHED,0.009982820484429646,30,0.0008590456663957031,Adadelta,15,0.07692307692307693,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,20,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=3, step=1)",2022-04-16 10:47:11.232842,2022-04-16 10:47:09.706790,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
