Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,gamma,input_layer,lr,optimizer,output_layer,accuracy,lr_distribution,direction,number,gamma_distribution,state,input_layer_distribution,output_layer_distribution,datetime_complete,datetime_start,optimizer_distribution
2022-04-16 10:51:23,18ms,d450b8d47cb748e9bd0a58bd2fa43f70,11,LOCAL,./run_nn.py,andy,FINISHED,0.05161381851509345,16,0.08512789475335665,RMSprop,20,0.7800829875518672,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,11,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:51:23.098065,2022-04-16 10:51:03.813063,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:53:12,19ms,6ea2095be8b04acc85996faa752f7630,22,LOCAL,./run_nn.py,andy,FINISHED,0.06645817907982729,16,0.0352420528630648,Adam,19,0.7510373443983402,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,22,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:53:12.549677,2022-04-16 10:52:45.303364,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:51:41,20ms,520fa87d98504875b481b7034b0fbb0d,12,LOCAL,./run_nn.py,andy,FINISHED,0.09717510834882502,16,0.057330051448397944,RMSprop,20,0.7468879668049793,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,12,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:51:41.051506,2022-04-16 10:51:23.122394,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:52:45,57ms,7e79faf1ab6d4ec3a70b9c76f8d97e1e,21,LOCAL,./run_nn.py,andy,FINISHED,0.053344459706569744,16,0.03327477280177497,Adam,19,0.7344398340248963,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,21,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:52:45.224546,2022-04-16 10:52:14.822660,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:52:08,18ms,e91d04c3421845438badd41fd84dcadc,14,LOCAL,./run_nn.py,andy,FINISHED,0.04654366299448408,19,0.025208263699869407,Adam,21,0.7302904564315352,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,14,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:52:08.726727,2022-04-16 10:51:41.991791,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:50:42,17ms,e17eb3768ae946a89d1036bb7acf6b86,6,LOCAL,./run_nn.py,andy,FINISHED,0.003213479258081785,21,0.17565665226799324,RMSprop,19,0.7219917012448133,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,6,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:50:42.006075,2022-04-16 10:50:21.961862,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:51:03,21ms,67c27dd4a71f40358deb14226a9707d2,10,LOCAL,./run_nn.py,andy,FINISHED,0.08843289763388563,17,0.10113133097415425,RMSprop,20,0.7178423236514523,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,10,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:51:03.785412,2022-04-16 10:50:44.618088,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:48:55,21ms,0a00912697a148988d489c935be443c4,1,LOCAL,./run_nn.py,andy,FINISHED,0.005230450125431872,26,2.3246856912052922,Adam,11,0.7136929460580913,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,1,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:48:55.523360,2022-04-16 10:48:11.910029,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:49:36,25ms,dcba913f5b634dd1afc51cd9d033eb23,2,LOCAL,./run_nn.py,andy,FINISHED,0.009513589657503088,30,37.03173365645132,Adadelta,8,0.6970954356846473,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,2,"LogUniformDistribution(high=0.1, low=0.001)",COMPLETE,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:49:36.671991,2022-04-16 10:48:55.555323,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
2022-04-16 10:52:10,20ms,2588c25e05164907a616ed426d0bfb66,16,LOCAL,./run_nn.py,andy,FINISHED,0.04631070244936156,20,0.41225188700231663,RMSprop,25,0.6153846153846154,"LogUniformDistribution(high=500.0, low=5e-05)",MAXIMIZE,16,"LogUniformDistribution(high=0.1, low=0.001)",PRUNED,"IntUniformDistribution(high=32, low=16, step=1)","IntUniformDistribution(high=25, low=5, step=1)",2022-04-16 10:52:10.517384,2022-04-16 10:52:09.585853,"CategoricalDistribution(choices=('Adam', 'Adadelta', 'RMSprop', 'SGD'))"
